country;age;gender;Q1;sad;helpless;anxious;afraid;optimistic;angry;guilty;ashamed;hurt;depressed;despair;grief;powerless;indifferent;Q3;Q6;Doing enough to avoid a climate catastrophe;abandoned;hopeful;protected
India;22;woman;very;no;yes;no;yes;no;yes;no;no;yes;yes;no;no;yes;no;yes;moderately;prefer not to say;moderately;a little;moderately
Australia;24;woman;moderately;no;yes;yes;yes;no;yes;yes;no;no;no;no;no;yes;no;no;not at all;yes;extremely;a little;moderately
India;20;woman;very;yes;yes;no;yes;no;no;prefer not to say;yes;prefer not to say;yes;yes;yes;yes;no;no;not at all;prefer not to say;extremely;a little;not at all
India;20;woman;moderately;no;yes;no;yes;yes;yes;yes;no;no;yes;no;no;no;yes;yes;completely reassured;yes;very;not at all;extremely
Australia;24;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;not at all;yes;moderately;not at all;very
Australia;23;woman;extremely;yes;yes;yes;yes;no;yes;no;no;yes;no;yes;yes;yes;no;no;not at all;yes;very;a little;moderately
Finland;24;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;a little;very;extremely
India;21;woman;extremely;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;no;yes;a little;no;very;a little;very
India;24;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;no;yes;completely reassured;yes;very;very;very
India;22;woman;moderately;no;no;no;yes;yes;yes;no;yes;no;yes;yes;yes;yes;yes;yes;moderately;yes;extremely;a little;very
Philippines;17;woman;a little;yes;no;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;no;yes;not at all;no;very;a little;very
Australia;23;woman;moderately;yes;no;yes;yes;yes;no;no;no;yes;no;no;no;no;no;no;moderately;no;not at all;moderately;not at all
Philippines;22;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;no;no;yes;yes;yes;yes;not at all;no;moderately;a little;moderately
India;24;man;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;yes;no;yes;a little;no;moderately;a little;moderately
France;21;woman;moderately;no;yes;no;yes;prefer not to say;no;no;no;no;no;no;no;no;prefer not to say;no;moderately;yes;a little;moderately;not at all
France;19;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;no;no;yes;no;yes;no;yes;not at all;yes;extremely;not at all;very
India;21;woman;extremely;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;no;yes;yes;yes;very;no;moderately;a little;a little
Brazil;22;man;extremely;yes;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;yes;no;yes;not at all;yes;very;not at all;very
India;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;very;no;moderately;moderately;a little
Portugal;20;woman;extremely;yes;no;yes;yes;no;yes;no;no;no;no;no;no;yes;no;no;not at all;prefer not to say;prefer not to say;moderately;moderately
India;19;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;completely reassured;yes;very;extremely;extremely
Philippines;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;moderately;no;very;very;very
Nigeria;24;man;very;yes;no;yes;no;no;yes;no;no;yes;no;no;no;yes;no;no;very;no;moderately;extremely;not at all
France;25;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;moderately;a little;not at all
Finland;25;man;extremely;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;moderately;no;not at all;very;not at all
